------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA 15 MW Offshore Reference Turbine
======  Blade Properties =================================================================
    64          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID    BlCb    BlCenBn    BlCenBt
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)     (-)     (m)        (m)
 0.000000000000000e+00 -6.354122360450852e-03 -2.276626484469566e-02  9.291281525327398e-01  1.559455301971172e+01  5.200000000000000e+00       1  0.0  0.0  0.0
 1.857141770195283e+00  2.376061018786272e-02  3.387442965270424e-02  8.837062781282846e-01  1.558925292464507e+01  5.206875510117407e+00       2  0.0  0.0  0.0
 2.387753704536792e+00  3.236481948738088e-02  5.005748522338992e-02  8.707285997270117e-01  1.558773861176889e+01  5.208839941579524e+00        2      0.0      0.0       0.0
 4.775507409073585e+00  6.621685687511680e-02  8.694386659281718e-02  6.376768648563605e-01  1.541083467878359e+01  5.237887092263203e+00        3      0.0      0.0       0.0
 7.163261113610377e+00  8.551302257769909e-02  5.307191353698237e-02  3.623009655957606e-01  1.494855563474368e+01  5.293325313383697e+00        4      0.0      0.0       0.0
 9.551014818147170e+00  9.641383525966472e-02 -2.834268227993915e-02  2.309264254802593e-01  1.425845480678574e+01  5.367339854814920e+00        5      0.0      0.0       0.0
 1.193876852268396e+01  1.047603018628692e-01 -1.352768396731961e-01  2.332510218907787e-01  1.339714163725627e+01  5.452092684226667e+00        6      0.0      0.0       0.0
 1.432652222722075e+01  1.158548641787537e-01 -2.434441389056812e-01  3.537684475592492e-01  1.242201947682708e+01  5.540031728503847e+00        7      0.0      0.0       0.0
 1.671427593175755e+01  1.342461230233627e-01 -3.188598483871042e-01  5.253284774395157e-01  1.139457131628079e+01  5.621824261194381e+00        8      0.0      0.0       0.0
 1.857141770195283e+01  1.539965279772290e-01 -3.407434072750932e-01  5.183589570023417e-01  1.059844169192672e+01  5.676818527603792e+00       9  0.0  0.0  0.0
 1.910202963629434e+01  1.596395008211909e-01 -3.469958526716618e-01  5.163676654488634e-01  1.037097608496841e+01  5.692531175149338e+00        9      0.0      0.0       0.0
 2.148978334083113e+01  1.772839218313782e-01 -3.819068650570526e-01  3.195122177856614e-01  9.403999874823057e+00  5.742610890726970e+00       10      0.0      0.0       0.0
 2.228570124234339e+01  1.802793385010153e-01 -3.933637089702297e-01  2.654563037719960e-01  9.119840650276066e+00  5.750019536158828e+00      10  0.0  0.0  0.0
 2.414284301253867e+01  1.867288532225233e-01 -4.183614802111671e-01  1.535103814886961e-01  8.471703405453766e+00  5.763868238448095e+00      11  0.0  0.0  0.0
 2.599998478273395e+01  1.899396228981592e-01 -4.329500641132493e-01  1.266717216969174e-01  7.912971835355563e+00  5.757088118426974e+00      12  0.0  0.0  0.0
 2.785712655292924e+01  1.944717513121512e-01 -4.245366235698348e-01  1.460554022636046e-01  7.405287661273419e+00  5.720772185117942e+00      13  0.0  0.0  0.0
 2.971426832312452e+01  1.996333049422243e-01 -4.033140789750607e-01  1.500642854306776e-01  6.907032344905233e+00  5.659355183351322e+00      13  0.0  0.0  0.0
 3.157141009331981e+01  2.045804355137153e-01 -3.763933813755274e-01  1.287090622493464e-01  6.414377203421436e+00  5.575094489392909e+00      14  0.0  0.0  0.0
 3.342855186351508e+01  2.082242607643353e-01 -3.520562387211778e-01  8.721579968330223e-02  5.933995702189947e+00  5.471559126660525e+00      15  0.0  0.0  0.0
 3.528569363371037e+01  2.102343263740324e-01 -3.316876542611066e-01  5.060310686177089e-02  5.476735410745039e+00  5.355840483613717e+00      16  0.0  0.0  0.0
 3.714283540390565e+01  2.112316454770677e-01 -3.131337661304469e-01  2.002485564267450e-02  5.040669798650598e+00  5.235947055280260e+00      17  0.0  0.0  0.0
 3.899997717410093e+01  2.114254588906712e-01 -2.964068400141511e-01 -1.368803058531644e-02  4.629753818921536e+00  5.117461967881434e+00      17  0.0  0.0  0.0
 4.085711894429622e+01  2.107313633010815e-01 -2.812914929964201e-01 -6.346886346568252e-02  4.246633744054459e+00  5.004575389691247e+00      18  0.0  0.0  0.0
 4.271426071449150e+01  2.078970703864687e-01 -2.670369527092823e-01 -1.652700830613537e-01  3.896915013357745e+00  4.900653826358555e+00      19  0.0  0.0  0.0
 4.457140248468679e+01  1.999301667972778e-01 -2.529295418046953e-01 -3.283202811655221e-01  3.579213102760762e+00  4.807242412994397e+00      20  0.0  0.0  0.0
 4.642854425488207e+01  1.862777976439143e-01 -2.388001074693027e-01 -5.344616506603546e-01  3.281596213675647e+00  4.717562521567859e+00      20  0.0  0.0  0.0
 4.828568602507735e+01  1.659218679139484e-01 -2.247206325636371e-01 -7.669879476249590e-01  3.000613587029204e+00  4.629336073422432e+00      21  0.0  0.0  0.0
 5.014282779527263e+01  1.378633438394945e-01 -2.108533280970963e-01 -1.003820922690406e+00  2.733562457425843e+00  4.541031051711910e+00      22  0.0  0.0  0.0
 5.199996956546791e+01  1.008510228560976e-01 -1.981648932771858e-01 -1.188097138880074e+00  2.483640848438439e+00  4.453254571866325e+00      23  0.0  0.0  0.0
 5.385711133566320e+01  5.926558739198613e-02 -1.867804145132795e-01 -1.338052816209041e+00  2.245265839847645e+00  4.366388521490990e+00      24  0.0  0.0  0.0
 5.571425310585848e+01  1.372994247084035e-02 -1.766125984219995e-01 -1.454414564231453e+00  2.017259333193257e+00  4.280599496319349e+00      24  0.0  0.0  0.0
 5.757139487605377e+01 -3.499643461872384e-02 -1.676272976645773e-01 -1.540815058252142e+00  1.798439451417933e+00  4.196076897038647e+00      25  0.0  0.0  0.0
 5.942853664624904e+01 -8.589949540080760e-02 -1.601764469085059e-01 -1.606373738360706e+00  1.588740424694911e+00  4.113450025778826e+00      26  0.0  0.0  0.0
 6.128567841644433e+01 -1.393077112207545e-01 -1.543820972067635e-01 -1.741073431601102e+00  1.387885720105589e+00  4.033023619217379e+00      27  0.0  0.0  0.0
 6.314282018663961e+01 -1.984245081082734e-01 -1.500246482269059e-01 -1.942876651510949e+00  1.196654870321548e+00  3.954577375640894e+00      27  0.0  0.0  0.0
 6.499996195683489e+01 -2.646590504472616e-01 -1.468123455785678e-01 -2.193235360384064e+00  1.015320436666579e+00  3.878022868858172e+00      28  0.0  0.0  0.0
 6.685710372703018e+01 -3.387672278625571e-01 -1.442863764849721e-01 -2.460770245763826e+00  8.434461662411673e-01  3.803172543681295e+00      29  0.0  0.0  0.0
 6.871424549722546e+01 -4.241330789299168e-01 -1.431977317324727e-01 -2.697597114740667e+00  6.825379600416517e-01  3.730230140327064e+00      30  0.0  0.0  0.0
 7.057138726742073e+01 -5.155424318980811e-01 -1.430328219370894e-01 -2.893489787996916e+00  5.257112497195531e-01  3.658124058053374e+00      31  0.0  0.0  0.0
 7.242852903761602e+01 -6.121475233780694e-01 -1.437466248554680e-01 -3.050008091541491e+00  3.712381977941083e-01  3.586619467107574e+00      31  0.0  0.0  0.0
 7.428567080781130e+01 -7.130272841441075e-01 -1.452485185094620e-01 -3.168977332079577e+00  2.174368927619600e-01  3.515462446220953e+00      32  0.0  0.0  0.0
 7.614281257800658e+01 -8.173283586144368e-01 -1.474052067298265e-01 -3.246657725966252e+00  6.189758872408077e-02  3.444255142524021e+00      33  0.0  0.0  0.0
 7.799995434820187e+01 -9.237490211666237e-01 -1.500327108086781e-01 -3.292841933620518e+00 -1.019928535162350e-01  3.372649631160836e+00      34  0.0  0.0  0.0
 7.985709611839715e+01 -1.031056316885284e+00 -1.529875128301660e-01 -3.353003348721086e+00 -2.769417719186607e-01  3.300486594259293e+00      34  0.0  0.0  0.0
 8.171423788859244e+01 -1.140269970272959e+00 -1.561973761531887e-01 -3.448408320924685e+00 -4.678157831774158e-01  3.228107610464957e+00      35  0.0  0.0  0.0
 8.357137965878772e+01 -1.253249451921617e+00 -1.595783390433830e-01 -3.595872363726420e+00 -6.803776144613007e-01  3.156109679927360e+00      36  0.0  0.0  0.0
 8.542852142898300e+01 -1.373224710738035e+00 -1.631426775430556e-01 -3.751595992023402e+00 -9.284233891017925e-01  3.084919932632396e+00      37  0.0  0.0  0.0
 8.728566319917829e+01 -1.497454630379758e+00 -1.665922399385908e-01 -3.895900794621238e+00 -1.177755635477681e+00  3.013698139416420e+00      38  0.0  0.0  0.0
 8.914280496937357e+01 -1.625813654985837e+00 -1.698363567497666e-01 -4.028504628385206e+00 -1.421449757700376e+00  2.942230133618531e+00      38  0.0  0.0  0.0
 9.099994673956884e+01 -1.758061902463008e+00 -1.727768464484822e-01 -4.148332570312594e+00 -1.652306471426386e+00  2.870290025579052e+00      39  0.0  0.0  0.0
 9.285708850976413e+01 -1.894227562092851e+00 -1.751718546140734e-01 -4.248572669654184e+00 -1.855360436951106e+00  2.797384457798085e+00      40  0.0  0.0  0.0
 9.471423027995941e+01 -2.033617885821019e+00 -1.775315160833505e-01 -4.342891297938722e+00 -2.018942777592174e+00  2.723010417980212e+00      41  0.0  0.0  0.0
 9.657137205015469e+01 -2.175828397759652e+00 -1.800134627315164e-01 -4.436906776365880e+00 -2.120793696998357e+00  2.647001879671778e+00      41  0.0  0.0  0.0
 9.842851382034998e+01 -2.320853907369266e+00 -1.826932168291269e-01 -4.538163310081060e+00 -2.166629971567874e+00  2.569156242983797e+00      42  0.0  0.0  0.0
 1.002856555905453e+02 -2.468636765792442e+00 -1.856271589973350e-01 -4.656240428293551e+00 -2.175841166085000e+00  2.489323647505219e+00      43  0.0  0.0  0.0
 1.021427973607405e+02 -2.622369432924918e+00 -1.884668666378227e-01 -4.795783820017028e+00 -2.159867639666257e+00  2.407340879187982e+00      44  0.0  0.0  0.0
 1.039999391309358e+02 -2.780131398175967e+00 -1.910618073574938e-01 -4.931684334377888e+00 -2.126195856632566e+00  2.323920889491597e+00      45  0.0  0.0  0.0
 1.058570809011311e+02 -2.941872204797716e+00 -1.933353578997191e-01 -5.063965077934482e+00 -2.074740821744855e+00  2.239104788155900e+00      45  0.0  0.0  0.0
 1.077142226713264e+02 -3.107514773866126e+00 -1.952541942817877e-01 -5.193324317869638e+00 -2.004885620501532e+00  2.152928770998675e+00      46  0.0  0.0  0.0
 1.095713644415217e+02 -3.277630940628331e+00 -1.968326129758687e-01 -5.322455494949912e+00 -1.910261014788864e+00  2.065163043613505e+00      47  0.0  0.0  0.0
 1.114285062117170e+02 -3.452460004434328e+00 -1.983248238655353e-01 -5.440614272260735e+00 -1.781798246431238e+00  1.976043912065603e+00      48  0.0  0.0  0.0
 1.132856479819122e+02 -3.630448408807314e+00 -1.995347865519324e-01 -5.565874376620846e+00 -1.628236585656544e+00  1.885268722604499e+00      48  0.0  0.0  0.0
